Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
2/28/2019,55.2026,63.8988,37.3044,27.358,7.9654,68.7821
2/27/2019,55.4166,64.0042,37.3294,27.5647,7.9912,68.8805
2/26/2019,55.8581,63.959,37.567,27.8634,8.0169,68.8214
2/25/2019,55.6173,63.4773,37.2544,27.6796,7.9654,68.6049
2/22/2019,55.6708,63.7483,37.3545,27.7715,7.9783,68.4671
2/21/2019,54.9752,62.7396,37.1544,27.4384,7.9009,68.1325
2/20/2019,55.4166,62.845,37.3044,27.6566,7.9331,68.29
2/19/2019,55.5504,62.8299,37.2294,27.6107,7.9525,68.1522
2/15/2019,55.4568,62.9353,37.0669,27.312,7.8751,68.0931
2/14/2019,55.2695,62.7998,37.1669,27.312,7.9267,67.5617
2/13/2019,55.0956,62.3783,36.8918,26.956,7.7849,67.542
2/12/2019,55.4969,62.3632,37.0544,26.9789,7.8622,67.7782
2/11/2019,55.2829,61.7611,36.9293,26.956,7.8751,66.9712
2/8/2019,55.6307,62.1374,36.9168,27.2201,7.9138,66.8925
2/7/2019,55.2428,62.86,36.7668,27.1627,7.8751,66.9318
2/6/2019,55.2695,63.1611,36.5167,26.9674,7.7978,67.5026
2/5/2019,55.5638,64.0042,36.4292,27.0479,7.7462,67.6601
2/4/2019,54.9351,62.9203,36.4167,26.8756,7.7462,67.0696
2/1/2019,55.1491,63.4773,36.3917,27.1283,7.7462,66.676
1/31/2019,55.5191,63.2488,36.5616,27.5762,7.8721,66.7571
1/30/2019,54.4389,62.0193,36.2622,26.8641,7.782,66.3456
1/29/2019,53.7322,60.8798,36.1499,26.1749,7.6404,65.0329
1/28/2019,53.3988,60.7449,35.9627,25.8074,7.589,65.1309
1/25/2019,53.4254,61.4795,35.9752,25.9796,7.5761,65.3856
1/24/2019,53.2921,61.6295,35.9752,26.1749,7.6533,64.9741
1/23/2019,52.892,60.8498,35.9752,25.9796,7.5632,64.7978
1/22/2019,52.5053,60.0551,35.9627,26.129,7.589,64.4647
1/18/2019,52.2519,60.0102,35.9627,26.0486,7.4989,65.5619
1/17/2019,51.9852,59.2455,36.1249,26.1979,7.589,65.0917
1/16/2019,51.6785,58.7057,36.1249,26.3013,7.6018,64.641
1/15/2019,51.3851,58.5708,36.0251,26.3127,7.6276,64.3863
1/14/2019,51.2917,58.031,36.0126,26.4276,7.589,63.8377
1/11/2019,51.6918,58.211,35.9128,26.6573,7.589,64.3667
